Date,HolidayName,Shore,Locations
1/1/2026,New Year,Both,"All Near, On & Offshore locations"
1/14/2026,Pongal / Makar Sankranti,Offshore,"Chennai, Coimbatore, Bangalore, Mangalore, Ahmedabad, Hyderabad"
3/14/2026,Holi / Dola Purnima/ Doljatra,Offshore,"Mumbai, Pune, Ahmedabad, Kolkata, Bhubaneswar"
3/31/2026,Ramzan (Id-ul-Fitr),Offshore,All Offshore locations
4/14/2026,Tamil New Year / Vishu / Bengali New Year,Offshore,"Chennai, Coimbatore, Kochi, Kolkata"
4/18/2026,Good Friday,Offshore,Kochi
5/1/2026,May Day,Offshore,All Offshore locations
6/2/2026,Telangana Formation Day,Offshore,Hyderabad
6/27/2026,Ratha Yatra,Offshore,Bhubaneswar
8/15/2026,Independence Day,Offshore,All Offshore locations
8/27/2026,Ganesh Chaturthi ,Offshore,"Chennai, Coimbatore, Bangalore, Mangalore, Mumbai, Pune, Ahmedabad, Hyderabad"
9/4/2026,First Onam,Offshore,Kochi
9/5/2026,Thiruvonam,Offshore,Kochi
10/1/2026,Mahanavami (Durga Puja) / Ayutha Pooja,Offshore,"Bengalore, Mangalore, Kolkata, Pune"
10/2/2026,Gandhi Jayanti / Dussehra (Vijaya Dashami),Offshore,All Offshore locations
10/20/2026,Diwali / Kali Puja / Naraka Chaturdash,Offshore,"Chennai, Coimbatore, Bangalore, Mangalore, Ahmedabad, Hyderabad, kolkata"
10/21/2026,Diwali / Diwali Amavasya (Laxmi Pujan),Offshore,"Mumbai, Pune, Bhubaneswar"
10/22/2026,Diwali (Bali Pratipada) ,Offshore,"Mumbai, Pune"
12/25/2026,Christmas,Both,All Offshore locations
1/20/2026,"Martin Luther King, Jr Day ",Onshore,All Near & Onshore locations
2/17/2026,President's Day,Onshore,All Near & Onshore locations
5/26/2026,Memorial Day,Onshore,All Near & Onshore locations
6/19/2026,Juneteenth,Onshore,All Near & Onshore locations
7/4/2026,Independence Day,Onshore,All Near & Onshore locations
9/1/2026,Labour Day,Onshore,All Near & Onshore locations
11/27/2026,Thanksgiving Eve,Onshore,All Near & Onshore locations
11/28/2026,Thanksgiving,Onshore,All Near & Onshore locations
12/26/2026,Christmas Holiday,Onshore,All Near & Onshore locations
